Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
08/08/2012,H (Mar 13),26.75,26.82,26.45,26.70,26.65,-0.30,49,0,1840
08/09/2012,H (Mar 13),26.55,26.90,26.52,26.70,26.65,0.00,207,0,1955
08/10/2012,H (Mar 13),26.60,26.65,26.34,26.43,26.45,-0.20,409,0,2176
08/13/2012,H (Mar 13),26.43,26.57,26.27,26.50,26.45,0.00,351,0,2381
08/14/2012,H (Mar 13),26.45,26.90,26.45,26.85,26.85,0.40,221,0,2521
08/15/2012,H (Mar 13),26.90,26.90,26.40,26.85,26.80,-0.05,804,0,2946
08/16/2012,H (Mar 13),26.71,27.10,26.65,26.74,26.75,-0.05,710,0,3253
08/17/2012,H (Mar 13),26.95,27.00,26.63,26.67,26.70,-0.05,456,0,3462
08/20/2012,H (Mar 13),26.63,27.10,26.48,27.07,27.10,0.40,328,0,3643
08/21/2012,H (Mar 13),26.95,27.58,26.90,27.55,27.55,0.45,771,0,4154
08/22/2012,H (Mar 13),27.65,27.75,27.30,27.64,27.65,0.10,2310,0,4701
08/23/2012,H (Mar 13),27.54,27.95,27.54,27.88,27.90,0.25,2339,10,5703
08/24/2012,H (Mar 13),27.98,28.10,27.55,27.88,27.90,0.00,1749,0,6250
08/27/2012,H (Mar 13),27.70,27.85,27.50,27.73,27.75,-0.15,2248,0,7311
08/28/2012,H (Mar 13),27.72,27.85,27.48,27.79,27.80,0.05,2005,11,7607
08/29/2012,H (Mar 13),27.69,28.00,27.37,27.92,27.95,0.15,2597,15,8276
08/30/2012,H (Mar 13),27.99,28.15,27.70,28.02,28.05,0.10,2355,0,8587
08/31/2012,H (Mar 13),27.63,27.90,27.30,27.61,27.65,-0.40,2587,6,8985
09/04/2012,H (Mar 13),27.55,27.90,27.50,27.72,27.75,0.10,2882,0,9978
09/05/2012,H (Mar 13),27.75,27.80,27.14,27.26,27.30,-0.45,2863,0,10689
09/06/2012,H (Mar 13),27.00,27.05,26.24,26.37,26.40,-0.90,5075,0,11973
09/07/2012,H (Mar 13),26.07,26.15,25.65,25.83,25.85,-0.55,3245,0,13343
09/10/2012,H (Mar 13),25.85,26.35,25.75,26.22,26.25,0.40,3214,0,13598
09/11/2012,H (Mar 13),25.95,26.10,25.45,25.91,25.95,-0.30,3273,47,14989
09/12/2012,H (Mar 13),25.75,25.75,25.00,25.27,25.30,-0.65,4827,95,16964
09/13/2012,H (Mar 13),25.25,25.38,23.94,24.46,24.50,-0.80,6598,30,18972
09/14/2012,H (Mar 13),24.00,24.65,23.55,24.59,24.60,0.10,6494,28,21097
09/17/2012,H (Mar 13),24.60,24.60,23.90,24.24,24.25,-0.35,6268,0,23189
09/18/2012,H (Mar 13),24.05,24.35,23.65,23.87,23.90,-0.35,4318,0,24048
09/19/2012,H (Mar 13),23.62,23.80,23.25,23.57,23.60,-0.30,4172,0,25082
09/20/2012,H (Mar 13),23.55,23.75,23.30,23.47,23.50,-0.10,2660,0,25333
09/21/2012,H (Mar 13),23.30,23.70,23.15,23.68,23.70,0.20,4191,0,26760
09/24/2012,H (Mar 13),23.49,23.57,23.10,23.38,23.40,-0.30,5249,31,28004
09/25/2012,H (Mar 13),23.31,23.80,22.95,23.62,23.65,0.25,7271,0,29383
09/26/2012,H (Mar 13),23.61,24.14,23.60,23.73,23.75,0.10,6560,150,29099
09/27/2012,H (Mar 13),23.54,23.67,22.94,23.22,23.25,-0.50,8389,0,30357
09/28/2012,H (Mar 13),23.34,23.55,23.15,23.34,23.35,0.10,3022,92,30330
10/01/2012,H (Mar 13),23.20,23.45,22.80,23.44,23.45,0.10,5328,0,31468
10/02/2012,H (Mar 13),23.10,23.33,22.90,23.22,23.25,-0.20,6052,0,32614
10/03/2012,H (Mar 13),23.20,23.29,22.75,22.92,22.95,-0.30,6513,0,33230
10/04/2012,H (Mar 13),22.85,22.85,22.40,22.45,22.45,-0.50,4430,45,33463
10/05/2012,H (Mar 13),22.40,22.45,22.00,22.37,22.40,-0.05,4603,0,34052
10/08/2012,H (Mar 13),22.45,22.50,22.25,22.27,22.30,-0.10,2139,0,33555
10/09/2012,H (Mar 13),22.27,22.65,22.08,22.53,22.55,0.25,5287,45,33567
10/10/2012,H (Mar 13),22.48,22.75,22.35,22.53,22.55,0.00,5984,0,34083
10/11/2012,H (Mar 13),22.49,22.50,21.95,22.18,22.20,-0.35,4257,0,34317
10/12/2012,H (Mar 13),22.00,22.25,21.80,21.97,22.00,-0.20,5826,0,34409
10/15/2012,H (Mar 13),21.71,22.00,21.50,21.70,21.75,-0.25,5703,15,34746
10/16/2012,H (Mar 13),21.50,21.60,21.30,21.38,21.40,-0.35,2996,96,35099
10/17/2012,H (Mar 13),21.35,21.57,21.05,21.22,21.25,-0.15,5748,337,35542
10/18/2012,H (Mar 13),21.00,21.40,20.99,21.26,21.30,0.05,4034,0,35873
10/19/2012,H (Mar 13),21.37,22.00,21.15,21.77,21.80,0.50,6273,0,36108
10/22/2012,H (Mar 13),21.65,21.93,21.45,21.59,21.60,-0.20,6234,0,37219
10/23/2012,H (Mar 13),22.00,22.65,21.95,22.02,22.05,0.45,8100,0,35721
10/24/2012,H (Mar 13),21.90,22.05,21.70,21.80,21.80,-0.25,6860,95,35836
10/25/2012,H (Mar 13),21.50,21.97,21.40,21.68,21.70,-0.10,5365,47,35978
